id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,bovada_spread
401112519,2019,13,regular,2019-11-23T20:30:00.000Z,Virginia Tech,ACC,28,Pittsburgh,ACC,0,"[{'provider': 'Bovada', 'spread': -4.0, 'formatted_spread': 'Virginia Tech -4.0', 'spread_open': None, 'over_under': 43.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-4.0
401110838,2019,10,regular,2019-11-02T19:30:00.000Z,Florida,SEC,17,Georgia,SEC,24,"[{'provider': 'Bovada', 'spread': 6.5, 'formatted_spread': 'Georgia -6.5', 'spread_open': None, 'over_under': 48.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",6.5
401117905,2019,12,regular,2019-11-16T17:00:00.000Z,Temple,American Athletic,29,Tulane,American Athletic,21,"[{'provider': 'Bovada', 'spread': 7.0, 'formatted_spread': 'Tulane -7.0', 'spread_open': None, 'over_under': 53.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",7.0
401117917,2019,14,regular,2019-11-30T21:00:00.000Z,SMU,American Athletic,37,Tulane,American Athletic,20,"[{'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'SMU -3.5', 'spread_open': None, 'over_under': 72.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-3.5
401114205,2019,11,regular,2019-11-09T03:30:00.000Z,Oregon State,Pac-12,7,Washington,Pac-12,19,"[{'provider': 'Bovada', 'spread': 11.0, 'formatted_spread': 'Washington -11.0', 'spread_open': None, 'over_under': 64.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",11.0
401114172,2019,12,regular,2019-11-17T03:30:00.000Z,Oregon,Pac-12,34,Arizona,Pac-12,6,"[{'provider': 'Bovada', 'spread': -28.0, 'formatted_spread': 'Oregon -28.0', 'spread_open': None, 'over_under': 69.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-28.0
401132982,2019,15,regular,2019-12-07T17:00:00.000Z,Central Michigan,Mid-American,21,Miami (OH),Mid-American,26,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'Central Michigan -6.5', 'spread_open': None, 'over_under': 57.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401112127,2019,10,regular,2019-11-02T19:30:00.000Z,Oklahoma State,Big 12,34,TCU,Big 12,27,"[{'provider': 'Bovada', 'spread': -1.0, 'formatted_spread': 'Oklahoma State -1.0', 'spread_open': None, 'over_under': 58.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-1.0
401119296,2019,11,regular,2019-11-06T01:00:00.000Z,Western Michigan,Mid-American,35,Ball State,Mid-American,31,"[{'provider': 'Bovada', 'spread': -6.5, 'formatted_spread': 'Western Michigan -6.5', 'spread_open': None, 'over_under': 65.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",-6.5
401112142,2019,11,regular,2019-11-09T17:00:00.000Z,West Virginia,Big 12,17,Texas Tech,Big 12,38,"[{'provider': 'Bovada', 'spread': 2.5, 'formatted_spread': 'Texas Tech -2.5', 'spread_open': None, 'over_under': 57.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}]",2.5
